dream_id,pred_descriptors,gt_descriptors,f1,precision,recall,reasoning,dream_report
norms-f_0061,"[""I+"", ""I+"", ""I+"", ""V+""]","[""I+""]",0.4,0.25,1.0,"{""I+ (terribly afraid)"": ""'Terribly' is an explicit high-intensity modifier applied to the emotion 'afraid' — codes as I+."", ""I+ (very much afraid)"": ""'Very much' is an explicit high-intensity modifier applied to 'afraid' — codes as I+."", ""I+ (very quickly)"": ""'Very' is an explicit high-intensity modifier applied to 'quickly' — codes as I+."", ""V+ (very quickly)"": ""'Quickly' describes rapid speed of the heartbeat — velocity+."", ""NOT CODED — 'afraid' alone"": ""Simple emotion words without intensity modifiers do not code."", ""NOT CODED — 'continually'"": ""Describes frequency/repetition, not velocity or another coded dimension.""}","I dreamed that a man continually would come to my dormitory, ring the doorbell and while he waited at the door, I would hide in the living room behind a chair until I would see him leave. I seemed to be aware of the fact that I was terribly afraid of him, although I had never seen him before and he "
norms-f_0062,[],[],1.0,1.0,1.0,"{""NOT CODED — 'afraid'"": ""Simple emotion word without an explicit intensity modifier — does not code."", ""NOT CODED — 'certain point'"": ""'Certain' is used as a determiner meaning 'a particular,' not a descriptor in any of the 9 dimensions."", ""NOT CODED — 'steady stream'"": ""'Steady' describes the flow quality, not a codeable dimension. It is not linearity, velocity, or intensity in the codebook sense."", ""NOT CODED — 'all the mercury was running around the room'"": ""No explicit quality words here — 'all' is a quantifier but does not clearly function as S+ or D+ in this context. The mercury running around describes an action, not a bounded container being full.""}","I dreamed that somebody was taking my temperature. I was afraid that I really had a fever, so I didn't want the person to come near me with the thermometer. Someone had said not to touch the thermometer on a certain point - otherwise the mercury would all run out in a steady stream. I must have touc"
norms-f_0063,"[""C-"", ""C-""]","[""C-"", ""C-""]",1.0,1.0,1.0,"{""C- (white coat)"": ""'White' is an achromatic color explicitly describing the coat — color−."", ""C- (white trousers)"": ""'White' is an achromatic color explicitly describing the trousers — a second distinct instance — color−."", ""NOT CODED — 'right construction'"": ""'Right' here means correct, not a moral/aesthetic evaluation."", ""NOT CODED — 'half way up his arm'"": ""Describes the extent of a bandage, not a size dimension in the codebook sense.""}","I dreamed that Dean Dolan was explaining the construction of some English sentences to me. I had them all correct except one which she switched around to make it the right construction. Then we walked out of the classroom since she a class and so did I. As we came out into the hall, I saw a friend o"
norms-f_0064,[],[],1.0,1.0,1.0,"{""NOT CODED — 'later permission'"": ""'Later' here refers to time, not a descriptor in any of the 9 dimensions."", ""NOT CODED — no explicit quality words"": ""This dream report describes a social interaction and situation without any explicit descriptive quality words falling into the 9 codeable dimensions (Color, Size, Age, Density, Thermal, Velocity, Linearity, Intensity, Evaluation).""}","I dreamed that I was sitting at a table with a girl in my dormitory, her boyfriend and either 2 or 3 other people whom I don't recall. Anyhow, the girl was asking me all sorts of questions about a dance I was supposed to have attended last week, but to which I never went. I had signed out for this d"
norms-f_0065,"[""A+"", ""A-"", ""C+"", ""E+"", ""S+""]","[""E+"", ""S+""]",0.571,0.4,1.0,"{""A+ (old woman)"": ""'Old' is an explicit age+ descriptor applied to the woman."", ""A- (young man)"": ""'Young' is an explicit age− descriptor applied to the man."", ""E+ (good-looking)"": ""'Good-looking' is a positive aesthetic evaluation of the man's appearance."", ""C+ (stamped in gold)"": ""'Gold' is a chromatic color — color+."", ""S+ (a long name)"": ""'Long' is an explicit size+ descriptor applied to the name."", ""NOT CODED — 'good' (a good friend)"": ""'Good' here is a social/relational phrase, not an aesthetic evaluation."", ""NOT CODED — 'hurt'"": ""Simple emotion word without an explicit intensity modifier."", ""NOT CODED — 'few' (a few times / a few servants)"": ""'Few' is a vague quantity word but does not clearly map to S− (small physical size). It describes frequency/number in a non-physical sense.""}",The dream began when a friend of mine came and told me that a boy whom I had dated a few times and whom I haven't seen for several weeks was pinned to another girl who was supposed to live next door to my dorm. (The only person living there is an old woman and a few servants.) Then the dream shifted
norms-f_0066,"[""I+""]","[""I+""]",1.0,1.0,1.0,"{""I+ (so excited)"": ""'So' is an explicit high-intensity modifier applied to the dreamer's emotional state — intensity+."", ""NOT CODED — 'rather sarcastic'"": ""'Rather' is a borderline qualifier and 'sarcastic' is a manner/tone descriptor, not a standard quality dimension. The coder chose not to code I− here because 'rather' is used in a weakly descriptive context."", ""NOT CODED — 'strenuously'"": ""Describes manner of resisting, not a quality in the 9 dimensions."", ""NOT CODED — ages (19)"": ""Parenthetical ages are character-coding notation, not descriptor words."", ""NOT CODED — 'twice' / 'third time'"": ""Counting, not a descriptor in the 9 dimensions.""}","Two friends, Nancy (19) my ex-roommate and Julia, girl living across the hall in my dorm and I were in a bathroom chatting. Nancy replied to my statement with a rather sarcastic hum which in real life torments me to some extent. I got so excited that I took her head in my hands and banged it twice a"
norms-f_0067,"[""I+"", ""I+"", ""S+"", ""A+""]","[""I+"", ""I+"", ""A+"", ""S+"", ""A+"", ""I+""]",0.8,1.0,0.667,"{""I+ (weeping bitterly)"": ""'Bitterly' is an explicit high-intensity modifier applied to the action of weeping — I+."", ""I+ (very clearly)"": ""'Very' is an explicit high-intensity modifier applied to how clearly the dreamer could see — I+."", ""S+ (high cyclone fence)"": ""'High' explicitly describes the physical size/height of the fence — S+."", ""A+ (older than I am)"": ""'Older' is a comparative age descriptor indicating greater age — A+."", ""NOT CODED — 'very good friend'"": ""'Good friend' is a social/relational phrase, not an aesthetic or moral evaluation. 'Very' modifies this social phrase, not a dream-content quality."", ""NOT CODED — 'old home'"": ""'Old' here means 'former/previous,' not aged or ancient. Does not code A+."", ""NOT CODED — '23 years old' / 'nineteen years old'"": ""Specific numeric ages are character-coding notation, not descriptor words."", ""NOT CODED — 'familiar faces'"": ""'Familiar' describes recognition, not a quality in the 9 dimensions.""}",I dreamed this dream the night before my friend Tia Sticapoulou went to New York. I dreamed I saw her walking down the street with another of my friends on the day that she was to leave. I inquired as to what had happened. She replied that she waited for a number of hours and that the person didn't 
norms-f_0068,"[""C+"", ""I+""]","[""C+""]",0.667,0.5,1.0,"{""C+ (brown checked jacket)"": ""'Brown' is a chromatic color explicitly describing the jacket."", ""I+ (very conscious)"": ""'Very' is an explicit high-intensity modifier applied to the dreamer's awareness of the jacket."", ""NOT CODED — 'fine'"": ""'Fine' here is used as a conversational response ('I said fine'), not as an aesthetic evaluation."", ""NOT CODED — 'exact same way'"": ""'Exact' describes manner of action repetition, not a quality in the 9 dimensions."", ""NOT CODED — 'not of the color'"": ""The dreamer explicitly states they do NOT remember the color — no color word is given to code.""}","All that I can remember is that I was at some type of social function. Someone came up to me and asked me to dance, and some time later this same individual in exactly the same manner asked me again. I can't explain how he asked me, but I do know that it was in the exact same way. The second time I "
norms-f_0069,"[""E+"", ""I+"", ""I+"", ""S+"", ""S-""]","[""I+"", ""E+"", ""S+"", ""S-"", ""I+"", ""I+""]",0.909,1.0,0.833,"{""E+ (beautiful girl)"": ""'Beautiful' is an explicit positive aesthetic evaluation — E+."", ""S+ (long hair)"": ""'Long' is an explicit size+ descriptor applied to hair."", ""I+ (very tiny)"": ""'Very' is an explicit high-intensity modifier applied to 'tiny'."", ""S- (very tiny)"": ""'Tiny' is an explicit size− descriptor — the baby is described as very small."", ""I+ (very active)"": ""'Very' is a second explicit high-intensity modifier applied to 'active'."", ""NOT CODED — 'deep sleep'"": ""'Deep' here is metaphorical (deep sleep = sound sleep), not a physical size/dimension descriptor."", ""NOT CODED — 'overjoyed'"": ""Simple emotion word without an explicit intensity modifier — not coded."", ""NOT CODED — 'very well' (hides his true feelings very well)"": ""This is a parenthetical aside about the dreamer's waking life observation, not describing dream content."", ""NOT CODED — 'happiness and love'"": ""Emotion words without explicit intensity modifiers."", ""NOT CODED — 'beauty' (baby's beauty)"": ""This repeats the aesthetic quality already coded via 'beautiful girl.' The noun 'beauty' here is a restatement in the dreamer's summary, not a new distinct descriptor applied to a new object."", ""NOT CODED — 'predominant'"": ""Describes narrative salience/emphasis, not a quality in the 9 dimensions."", ""NOT CODED — 'surprised'"": ""Simple emotion/reaction, not a codeable descriptor dimension.""}","In my dream I was in bed aware of the fact that I was about to give birth to a baby. I fell into a deep sleep or when I woke the baby had been born. I had no pain and there was no evidence of afterbirth. At the time my parents were away and on returning both were overjoyed, especially my father (thi"
norms-f_0070,"[""C+"", ""C+"", ""S+""]","[""C+"", ""S+"", ""C+"", ""I+""]",0.857,1.0,0.75,"{""C+ (bright blue outfit)"": ""'Blue' is a chromatic color — color+."", ""C+ (wide green band)"": ""'Green' is a chromatic color — color+."", ""S+ (wide green band)"": ""'Wide' is an explicit size+ word describing the band's physical dimension."", ""NOT CODED — 'bright' (bright blue outfit)"": ""'Bright' here modifies the color 'blue' as a color quality descriptor. It is not an intensity modifier in the I+ sense; it describes the shade/saturation of the color. The chromatic color itself is already coded as C+."", ""NOT CODED — 'whole place'"": ""'Whole' here means 'entire' — it describes completeness/extent, not a size dimension."", ""NOT CODED — 'more of them than students'"": ""Comparative quantity statement, not an explicit size/density descriptor.""}","I had to take an exam in the psych lab. When I entered, there were tables over the whole place. The lab was just one room, not the way it actually is. There were chairs along the wall all occupied with people who are proctors. There seemed to be more of them than students taking the exam. One girl, "
norms-f_0071,"[""I+"", ""I+"", ""S+"", ""S-"", ""A-"", ""S+""]","[""I+"", ""A-"", ""I+"", ""S-"", ""S+""]",0.909,0.833,1.0,"{""I+ (very steep hill)"": ""'Very' is an explicit high-intensity modifier applied to dream content."", ""I+ (very worried)"": ""'Very' is an explicit high-intensity modifier applied to dream content."", ""S+ (steep hill)"": ""While 'steep' is not a standard size word, the hill's steepness is descriptive of landscape — however, reconsidering: 'steep' does not clearly fit S. NOT CODED here; see revised reasoning below."", ""A- (young brother)"": ""'Young' is an explicit age− descriptor."", ""S- (little fairy like creature)"": ""'Little' explicitly describes the creature's small size — size−."", ""S+ (huge ... lake)"": ""'Huge' is an explicit size+ word — size+."", ""NOT CODED — 'peaceful lake'"": ""'Peaceful' describes the lake's atmosphere/mood, not an aesthetic/moral evaluation in the E dimension. It is not clearly 'beautiful' or a moral praise word."", ""NOT CODED — ages (15)"": ""Parenthetical age is character-coding notation, not a descriptor word."", ""NOT CODED — 'steep'"": ""'Steep' describes gradient/incline, not clearly a size, linearity, or other codeable dimension.""}","My father was driving me up a very steep hill in our car, and my young brother (15) was with us. When we reached the top, we got out of the car and parted for my father was going one way and I the other. I was very worried about leaving the car parked on the steep hill because some little fairy like"
norms-f_0072,[],[],1.0,1.0,1.0,"{""NOT CODED — 'silent'"": ""'Silent' describes the dreamer's behavior (keeping quiet), not a quality dimension in the 9 categories."", ""NOT CODED — 'few girls'"": ""'Few' is a small quantity word, but it is not an explicit size descriptor in the S− sense — it simply indicates a small number and is too weak/common to code."", ""NOT CODED — 'trouble'"": ""A general negative situation word, not an aesthetic or moral evaluation.""}","I was just about to enter my sociology class when I saw a few girls (unknown to me) seated at a table across the hall. I, too, sat down there. Then my instructor came and began talking to the girls. I thought that if I kept silent, he wouldn't notice I didn't belong and my presence would do no harm."
norms-f_0073,"[""E-""]","[""E+""]",0.0,0.0,0.0,"{""E- (horrible condition)"": ""'Horrible' is an explicit negative aesthetic/moral evaluation — evaluation−."", ""NOT CODED — 'freakish'"": ""Judgment call: 'freakish' describes an abnormal quality but is more of a characterization than a standard aesthetic/moral evaluation in the E dimension. The coder chose not to code this."", ""NOT CODED — 'loving'"": ""'Loving' describes a relational/emotional quality of the wife, not an aesthetic or moral evaluation in the E dimension."", ""NOT CODED — 'spiritual'"": ""'Spiritual' describes the type of dream experience, not a quality in any of the 9 dimensions."", ""NOT CODED — 'visible'"": ""'Visible' is a perceptual descriptor, not in the 9 dimensions."", ""NOT CODED — 'only recently'"": ""'Recently' relates to time/age context but does not describe age of a person or object as A+ or A−.""}",The only visible person was a man who had freakish limbs. At the end of each arm and leg there was either a stump or only one or two fingers or toes. I had the feeling he had acquired one of them only recently. I seemed to know that this man had a loving wife who would not leave him because of his h
norms-f_0074,"[""C+"", ""C+"", ""C+"", ""C+""]","[""C+"", ""C+"", ""C+""]",0.857,0.75,1.0,"{""C+ (red lipstick cases)"": ""'Red' is a chromatic color — color+."", ""C+ (gold case)"": ""'Gold' is a chromatic color — color+."", ""C+ (red paper)"": ""'Red' is a chromatic color applied to a distinct object — second instance of red, color+."", ""C+ (the color did come thru the red paper)"": ""Third distinct mention of 'red' applied to the paper in a new context — color+."", ""NOT CODED — 'quite surprised'"": ""'Quite' is borderline and used conservatively. Here it modifies an emotional reaction ('surprised') in a relatively mild context. The coder chose not to code this as I+, following the conservative approach to 'quite'."", ""NOT CODED — 'right shade'"": ""'Right' here means correct/appropriate, not an aesthetic or moral evaluation.""}","I was shopping for lipstick and was with a girl with whom I had been close friends in high school, but now am unfriendly with. I wondered why she was with me since I didn't like her. She was helping me choose a lipstick and I wondered whether she might not want to hinder me. The girl showed me a cou"
norms-f_0075,"[""E-"", ""E-""]","[""E-"", ""E+""]",0.5,0.5,0.5,"{""E- (dirty it up)"": ""'Dirty' used as a value judgment about the state of the room — negative aesthetic evaluation."", ""E- (not to dirty the room)"": ""Second distinct use of 'dirty' as a negative aesthetic/moral evaluation in a separate clause."", ""NOT CODED — 'clean room clean'"": ""'Clean' describes a functional state rather than an aesthetic praise word like 'beautiful' or 'lovely.' It is the opposite of 'dirty' but used descriptively about room condition, not as aesthetic evaluation in the E+ sense."", ""NOT CODED — age (16)"": ""Parenthetical age is character-coding notation, not a descriptor word."", ""NOT CODED — 'nonentity'"": ""Describes the person's social insignificance/anonymity, not a quality in the 9 dimensions.""}",All I remember of this dream is that my brother (16) re-entered a room I was in. He began upsetting everything in the room and doing everything he could to dirty it up--emptying the earth from flower pots was one specific way I remember. He was doing all this to spite me because I pleaded with him n
norms-f_0076,"[""C+"", ""C+"", ""C+"", ""C-"", ""E+"", ""E+"", ""A+"", ""I+"", ""I+"", ""S-"", ""T-""]","[""E+"", ""C-"", ""C+"", ""E+"", ""C+"", ""I+"", ""T-"", ""A-"", ""A+"", ""I+"", ""I+"", ""I-"", ""I+"", ""I-""]",0.72,0.818,0.643,"{""C- (silver-white fur coats)"": ""'Silver-white' is an achromatic color description — color−."", ""E+ (beautiful ... fur coats)"": ""'Beautiful' is a positive aesthetic evaluation — evaluation+."", ""I+ (liked very much)"": ""'Very' is an explicit high-intensity modifier — intensity+."", ""I+ (very dressed up)"": ""'Very' is a second explicit high-intensity modifier — intensity+."", ""C+ (light blue dresses)"": ""'Blue' is a chromatic color — color+."", ""A+ (older person)"": ""'Older' is a comparative age descriptor — age+."", ""C+ (blue sky)"": ""'Blue' is a chromatic color — color+."", ""C+ (bright sun)"": ""'Bright' modifies the sun's visual quality; however, reconsidering — 'bright' describes luminosity. Actually, 'bright' is not a standard chromatic or achromatic color. Let me reconsider this."", ""E+ (weather was fine)"": ""'Fine' is a positive evaluative descriptor — evaluation+."", ""S- (a little cold)"": ""Actually 'a little' is a mild qualifier and 'cold' is thermal. Let me reassign."", ""T- (a little cold)"": ""'Cold' is an explicit thermal− descriptor — the dreamer explicitly states temperature.""}","I dreamed of 2 girls (I know them personally and always think of them together) both dressed exactly alike. They were beautiful silver-white fur coats which I liked very much. Both were very dressed up, and I remember especially that they wore light blue dresses. We were at a lakeshore. Some older p"
norms-f_0077,"[""C+"", ""I+"", ""T-""]","[""C+"", ""T+""]",0.4,0.333,0.5,"{""C+ (yellow)"": ""'Yellow' is a chromatic color explicitly describing the apples — color+."", ""I+ (very clear)"": ""'Very' is an explicit high-intensity modifier applied to 'clear' in dream content."", ""T- (not being hot enough)"": ""'Hot' is an explicit thermal descriptor. Even though negated/insufficient ('not hot enough'), the dreamer explicitly references temperature. The word 'hot' is stated — coding T- because the oven is described as insufficiently hot (i.e., too cold)."", ""NOT CODED — 'two bushels'"": ""A specific quantity, not a size descriptor."", ""NOT CODED — 'distinctly'"": ""This is a metacognitive/memory qualifier ('I distinctly remember'), not a descriptor of dream content.""}","I dreamed that my father was commending my sister and me for picking two bushels of apples. One of the bushels of apples was, I distinctly remember, yellow. My father went on to complain about not being able to hunt. I don't think the reason is very clear. He said something about the oven not being "
norms-f_0078,[],[],1.0,1.0,1.0,"{""NOT CODED — 'several tracks'"": ""'Several' is a quantity word but does not imply large or small size — it is a moderate, neutral quantity and does not reach the threshold for S+."", ""NOT CODED — 'moving locomotives'"": ""'Moving' describes action/state, not velocity. No explicit speed qualifier is present."", ""NOT CODED — 'approaching train'"": ""'Approaching' describes direction of movement, not speed — no V+ coding.""}","I dreamed of being on railroad tracks. I don't remember feeling any particular emotion. There were several tracks, and moving locomotives, and I remember that my father was present. Another dream I had similar to this one involved my father trying to remove something from the tracks before an approa"
