dream_id,coding_type,init,rec,code,char,raw
b-baseline_0090,char,,,1MOA,,1MOA
b-baseline_0090,fri,1FSA,1MSA,7=,,"{'init': '1FSA', 'code': '7=', 'rec': '1MSA'}"
b-baseline_0101,char,,,1MPA,,1MPA
b-baseline_0101,char,,,2IUA,,2IUA
b-baseline_0101,char,,,2IEA,,2IEA
b-baseline_0101,char,,,1IEA,,1IEA
b-baseline_0101,char,,,1MFA,,1MFA
b-baseline_0101,agg,1MPA,2IEA,2>,,"{'init': '1MPA', 'code': '2>', 'rec': '2IEA'}"
b-baseline_0101,agg,D,1MPA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1MPA'}"
b-baseline_0101,agg,2IEA,1MPA,2R,,"{'init': '2IEA', 'code': '2R', 'rec': '1MPA'}"
b-baseline_0101,agg,2IEA,1MPA,6>,,"{'init': '2IEA', 'code': '6>', 'rec': '1MPA'}"
b-baseline_0101,agg,D,2IEA,3>,,"{'init': 'D', 'code': '3>', 'rec': '2IEA'}"
b-baseline_0101,agg,1MPA + 2IUA,2IEA,2>,,"{'init': '1MPA + 2IUA', 'code': '2>', 'rec': '2IEA'}"
b-baseline_0101,agg,D,1MPA + 2IUA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1MPA + 2IUA'}"
b-baseline_0101,agg,1MPA + 2IUA,2IEA,2=,,"{'init': '1MPA + 2IUA', 'code': '2=', 'rec': '2IEA'}"
b-baseline_0101,fri,1IEA,D,2>,,"{'init': '1IEA', 'code': '2>', 'rec': 'D'}"
b-baseline_0101,fri,1MPA,D,5>,,"{'init': '1MPA', 'code': '5>', 'rec': 'D'}"
b-baseline_0103,char,,,1ANI,,1ANI
b-baseline_0103,char,,,1ANI,,1ANI
b-baseline_0103,agg,1ANI,D,7>,,"{'init': '1ANI', 'code': '7>', 'rec': 'D'}"
b-baseline_0103,agg,D,1ANI,6R,,"{'init': 'D', 'code': '6R', 'rec': '1ANI'}"
b-baseline_0103,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0105,char,,,2JSA,,2JSA
b-baseline_0105,char,,,2MSA,,2MSA
b-baseline_0105,char,,,2IOA,,2IOA
b-baseline_0105,char,,,2MKA,,2MKA
b-baseline_0105,char,,,2JUA,,2JUA
b-baseline_0105,char,,,2FSA,,2FSA
b-baseline_0105,char,,,1FSA,,1FSA
b-baseline_0105,char,,,1MKA,,1MKA
b-baseline_0105,char,,,5MKA,,5MKA
b-baseline_0105,agg,2JSA,D,6>,,"{'init': '2JSA', 'code': '6>', 'rec': 'D'}"
b-baseline_0105,agg,2JSA,D,7>,,"{'init': '2JSA', 'code': '7>', 'rec': 'D'}"
b-baseline_0105,agg,2JSA,2MSA,6>,,"{'init': '2JSA', 'code': '6>', 'rec': '2MSA'}"
b-baseline_0105,agg,2IOA,D,3>,,"{'init': '2IOA', 'code': '3>', 'rec': 'D'}"
b-baseline_0108,char,,,1MRA,,1MRA
b-baseline_0108,char,,,1FKA,,1FKA
b-baseline_0108,char,,,2FDA,,2FDA
b-baseline_0108,agg,D,1MRA,1>,,"{'init': 'D', 'code': '1>', 'rec': '1MRA'}"
b-baseline_0108,agg,D,1MRA,6>,,"{'init': 'D', 'code': '6>', 'rec': '1MRA'}"
b-baseline_0108,agg,D,1MRA,2=,,"{'init': 'D', 'code': '2=', 'rec': '1MRA'}"
b-baseline_0108,agg,1FKA,D,3>,,"{'init': '1FKA', 'code': '3>', 'rec': 'D'}"
b-baseline_0108,agg,D,1FKA,3R,,"{'init': 'D', 'code': '3R', 'rec': '1FKA'}"
b-baseline_0108,agg,D,1MRA,2>,,"{'init': 'D', 'code': '2>', 'rec': '1MRA'}"
b-baseline_0108,mf,,,4,D,"{'code': '4', 'char': 'D'}"
b-baseline_0108,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
b-baseline_0118,char,,,1ANI,,1ANI
b-baseline_0118,char,,,1ANI,,1ANI
b-baseline_0118,agg,1ANI,D,6>,,"{'init': '1ANI', 'code': '6>', 'rec': 'D'}"
b-baseline_0118,fail,,,,D,{'char': 'D'}
b-baseline_0118,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0145,char,,,2MSA,,2MSA
b-baseline_0145,char,,,2JEA,,2JEA
b-baseline_0145,char,,,2JEC,,2JEC
b-baseline_0145,char,,,1FEC,,1FEC
b-baseline_0145,char,,,2MEA,,2MEA
b-baseline_0145,char,,,1MEA,,1MEA
b-baseline_0145,char,,,1MSA,,1MSA
b-baseline_0145,agg,2MSA,D,6>,,"{'init': '2MSA', 'code': '6>', 'rec': 'D'}"
b-baseline_0145,emot,,,AP,2JEA,"{'code': 'AP', 'char': '2JEA'}"
b-baseline_0145,emot,,,AP,2JEA,"{'code': 'AP', 'char': '2JEA'}"
b-baseline_0206,char,,,1MOA,,1MOA
b-baseline_0206,char,,,1FRA,,1FRA
b-baseline_0206,agg,1MOA,D,3>,,"{'init': '1MOA', 'code': '3>', 'rec': 'D'}"
b-baseline_0206,mf,,,3,D,"{'code': '3', 'char': 'D'}"
b-baseline_0206,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0218,char,,,2IUA,,2IUA
b-baseline_0218,char,,,1FKA,,1FKA
b-baseline_0218,char,,,1FSA,,1FSA
b-baseline_0218,char,,,1MBA,,1MBA
b-baseline_0218,agg,1FKA,D,2>,,"{'init': '1FKA', 'code': '2>', 'rec': 'D'}"
b-baseline_0218,agg,D,1FKA,1R,,"{'init': 'D', 'code': '1R', 'rec': '1FKA'}"
b-baseline_0218,agg,1FKA,D,1>,,"{'init': '1FKA', 'code': '1>', 'rec': 'D'}"
b-baseline_0218,agg,1FSA,Q,1>,,"{'init': '1FSA', 'code': '1>', 'rec': 'Q'}"
b-baseline_0218,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
b-baseline_0218,emot,,,AN,1FKA,"{'code': 'AN', 'char': '1FKA'}"
b-baseline_0218,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0228,char,,,2IUC,,2IUC
b-baseline_0228,char,,,1FOA,,1FOA
b-baseline_0228,char,,,1IUA,,1IUA
b-baseline_0228,char,,,1FOA,,1FOA
b-baseline_0228,char,,,2MSA,,2MSA
b-baseline_0228,char,,,1MSA,,1MSA
b-baseline_0228,agg,D,1MSA,2>,,"{'init': 'D', 'code': '2>', 'rec': '1MSA'}"
b-baseline_0228,agg,D,2MSA,7>,,"{'init': 'D', 'code': '7>', 'rec': '2MSA'}"
b-baseline_0236,char,,,1FKA,,1FKA
b-baseline_0236,char,,,1MKA,,1MKA
b-baseline_0236,char,,,2MKA,,2MKA
b-baseline_0236,char,,,1MKA,,1MKA
b-baseline_0236,char,,,1MKA,,1MKA
b-baseline_0236,char,,,1FMA,,1FMA
b-baseline_0236,agg,D,1FKA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1FKA'}"
b-baseline_0236,agg,1MKA,1MKA,2=,,"{'init': '1MKA', 'code': '2=', 'rec': '1MKA'}"
b-baseline_0236,agg,D,1FMA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1FMA'}"
b-baseline_0236,fri,1FKA,D,4>,,"{'init': '1FKA', 'code': '4>', 'rec': 'D'}"
b-baseline_0236,fri,D,1MKA,1=,,"{'init': 'D', 'code': '1=', 'rec': '1MKA'}"
b-baseline_0236,fri,1MKA,2MKA,4>,,"{'init': '1MKA', 'code': '4>', 'rec': '2MKA'}"
b-baseline_0236,sex,1MKA,D,4>,,"{'init': '1MKA', 'code': '4>', 'rec': 'D'}"
b-baseline_0236,sex,D,1MKA,1=,,"{'init': 'D', 'code': '1=', 'rec': '1MKA'}"
b-baseline_0236,sex,D,1MKA,2=,,"{'init': 'D', 'code': '2=', 'rec': '1MKA'}"
b-baseline_0236,sex,D,1MKA,5=,,"{'init': 'D', 'code': '5=', 'rec': '1MKA'}"
b-baseline_0236,mf,,,1,D + 1MKA,"{'code': '1', 'char': 'D + 1MKA'}"
b-baseline_0236,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0236,emot,,,SD,1FKA,"{'code': 'SD', 'char': '1FKA'}"
b-baseline_0236,emot,,,SD,1FMA,"{'code': 'SD', 'char': '1FMA'}"
b-baseline_0236,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0247,char,,,2FSA,,2FSA
b-baseline_0247,char,,,2JSA,,2JSA
b-baseline_0247,char,,,1MPA,,1MPA
b-baseline_0247,agg,2FSA,D,2>,,"{'init': '2FSA', 'code': '2>', 'rec': 'D'}"
b-baseline_0247,agg,2JSA,D,2>,,"{'init': '2JSA', 'code': '2>', 'rec': 'D'}"
b-baseline_0247,sex,D,1MPA,3=,,"{'init': 'D', 'code': '3=', 'rec': '1MPA'}"
b-baseline_0247,sex,D,1MPA,3=,,"{'init': 'D', 'code': '3=', 'rec': '1MPA'}"
b-baseline_0247,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0247,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0247,emot,,,HA,D,"{'code': 'HA', 'char': 'D'}"
b-baseline_0247,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0274,char,,,1FKA,,1FKA
b-baseline_0274,char,,,1ANI,,1ANI
b-baseline_0274,char,,,1ANI,,1ANI
b-baseline_0274,char,,,1ANI,,1ANI
b-baseline_0274,char,,,1MKA,,1MKA
b-baseline_0274,char,,,1ANI,,1ANI
b-baseline_0302,char,,,1MSA,,1MSA
b-baseline_0302,char,,,2ISA,,2ISA
b-baseline_0302,char,,,1MFA,,1MFA
b-baseline_0302,char,,,1MSA,,1MSA
b-baseline_0302,char,,,2ANI,,2ANI
b-baseline_0302,fri,1MSA,D,4>,,"{'init': '1MSA', 'code': '4>', 'rec': 'D'}"
b-baseline_0302,fri,1MSA,D,5>,,"{'init': '1MSA', 'code': '5>', 'rec': 'D'}"
b-baseline_0302,fri,1MSA,D,1>,,"{'init': '1MSA', 'code': '1>', 'rec': 'D'}"
b-baseline_0302,mf,,,4,D,"{'code': '4', 'char': 'D'}"
b-baseline_0302,mf,,,6,1MFA,"{'code': '6', 'char': '1MFA'}"
b-baseline_0302,mf,,,2,1MSA,"{'code': '2', 'char': '1MSA'}"
b-baseline_0302,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0317,char,,,1MKA,,1MKA
b-baseline_0317,char,,,2JOA,,2JOA
b-baseline_0317,char,,,1FOA,,1FOA
b-baseline_0317,fri,1MKA,D,1>,,"{'init': '1MKA', 'code': '1>', 'rec': 'D'}"
b-baseline_0317,fri,1MKA,D,2>,,"{'init': '1MKA', 'code': '2>', 'rec': 'D'}"
b-baseline_0317,fail,,,,D,{'char': 'D'}
b-baseline_0317,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0359,char,,,1MKA,,1MKA
b-baseline_0359,char,,,1MSA,,1MSA
b-baseline_0359,char,,,1IUA,,1IUA
b-baseline_0359,char,,,2JUA,,2JUA
b-baseline_0359,char,,,1FSA,,1FSA
b-baseline_0359,char,,,1IUA,,1IUA
b-baseline_0359,gf,,,,D,{'char': 'D'}
b-baseline_0359,emot,,,CO,2JUA,"{'code': 'CO', 'char': '2JUA'}"
b-baseline_0390,char,,,1MKA,,1MKA
b-baseline_0390,char,,,1FKA,,1FKA
b-baseline_0390,char,,,1MKA,,1MKA
b-baseline_0390,agg,D,1MKA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1MKA'}"
b-baseline_0390,agg,D,1FKA,1>,,"{'init': 'D', 'code': '1>', 'rec': '1FKA'}"
b-baseline_0390,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
b-baseline_0400,char,,,1MRA,,1MRA
b-baseline_0400,char,,,1FDC,,1FDC
b-baseline_0400,char,,,1MKA,,1MKA
b-baseline_0400,char,,,1FDA,,1FDA
b-baseline_0400,char,,,1FOA,,1FOA
b-baseline_0400,char,,,2FDA,,2FDA
b-baseline_0400,agg,D,Q,5>,,"{'init': 'D', 'code': '5>', 'rec': 'Q'}"
b-baseline_0400,agg,D,2FDA,1>,,"{'init': 'D', 'code': '1>', 'rec': '2FDA'}"
b-baseline_0400,fri,1MRA,1FDC,4>,,"{'init': '1MRA', 'code': '4>', 'rec': '1FDC'}"
b-baseline_0400,fri,D,1FDC,6>,,"{'init': 'D', 'code': '6>', 'rec': '1FDC'}"
b-baseline_0400,fri,D,2FDA,1>,,"{'init': 'D', 'code': '1>', 'rec': '2FDA'}"
b-baseline_0400,succ,,,,D + 2FDA,{'char': 'D + 2FDA'}
b-baseline_0400,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0400,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0400,mf,,,3,D + 2FDA,"{'code': '3', 'char': 'D + 2FDA'}"
b-baseline_0400,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0400,emot,,,SD,D,"{'code': 'SD', 'char': 'D'}"
b-baseline_0400,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0405,char,,,2JSA,,2JSA
b-baseline_0405,char,,,1FUA,,1FUA
b-baseline_0405,mf,,,4,D,"{'code': '4', 'char': 'D'}"
b-baseline_0405,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0406,char,,,1IUA,,1IUA
b-baseline_0406,char,,,2ISA,,2ISA
b-baseline_0406,char,,,1MOA,,1MOA
b-baseline_0406,char,,,1FSA,,1FSA
b-baseline_0406,agg,2ISA,D + 1IUA,6>,,"{'init': '2ISA', 'code': '6>', 'rec': 'D + 1IUA'}"
b-baseline_0410,char,,,1IUA,,1IUA
b-baseline_0410,char,,,1IUA,,1IUA
b-baseline_0410,agg,1IUA,Q,7>,,"{'init': '1IUA', 'code': '7>', 'rec': 'Q'}"
b-baseline_0410,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0410,gf,,,,D,{'char': 'D'}
b-baseline_0413,char,,,1MSA,,1MSA
b-baseline_0413,char,,,2FOA,,2FOA
b-baseline_0413,char,,,1IUB,,1IUB
b-baseline_0413,char,,,1FOA,,1FOA
b-baseline_0413,char,,,1IUB,,1IUB
b-baseline_0413,char,,,1MSA,,1MSA
b-baseline_0413,agg,1MSA,D,6>,,"{'init': '1MSA', 'code': '6>', 'rec': 'D'}"
b-baseline_0413,agg,1MSA,D,2>,,"{'init': '1MSA', 'code': '2>', 'rec': 'D'}"
b-baseline_0413,agg,1MSA,D,7>,,"{'init': '1MSA', 'code': '7>', 'rec': 'D'}"
b-baseline_0413,agg,D,1MSA,1R,,"{'init': 'D', 'code': '1R', 'rec': '1MSA'}"
b-baseline_0413,agg,D,1MSA,7R,,"{'init': 'D', 'code': '7R', 'rec': '1MSA'}"
b-baseline_0413,fri,2FOA,D,4>,,"{'init': '2FOA', 'code': '4>', 'rec': 'D'}"
b-baseline_0413,fri,D,1IUB,6>,,"{'init': 'D', 'code': '6>', 'rec': '1IUB'}"
b-baseline_0413,fri,D,1IUB,6>,,"{'init': 'D', 'code': '6>', 'rec': '1IUB'}"
b-baseline_0413,sex,1MSA,D,1>,,"{'init': '1MSA', 'code': '1>', 'rec': 'D'}"
b-baseline_0413,sex,1MSA,D,5>,,"{'init': '1MSA', 'code': '5>', 'rec': 'D'}"
b-baseline_0413,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0413,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
b-baseline_0413,emot,,,HA,D,"{'code': 'HA', 'char': 'D'}"
b-baseline_0413,emot,,,CO,1MSA,"{'code': 'CO', 'char': '1MSA'}"
b-baseline_0421,char,,,2IUA,,2IUA
b-baseline_0421,char,,,2ISA,,2ISA
b-baseline_0421,char,,,1MUA,,1MUA
b-baseline_0421,char,,,1IUA,,1IUA
b-baseline_0421,char,,,1FUA,,1FUA
b-baseline_0421,char,,,1MSA,,1MSA
b-baseline_0421,char,,,1IUA,,1IUA
b-baseline_0421,agg,2ISA,D + 2IUA,5>,,"{'init': '2ISA', 'code': '5>', 'rec': 'D + 2IUA'}"
b-baseline_0421,agg,1MUA,D + 2IUA,3>,,"{'init': '1MUA', 'code': '3>', 'rec': 'D + 2IUA'}"
b-baseline_0421,agg,1MUA,D + 2IUA,2>,,"{'init': '1MUA', 'code': '2>', 'rec': 'D + 2IUA'}"
b-baseline_0421,agg,D,1MUA,7R,,"{'init': 'D', 'code': '7R', 'rec': '1MUA'}"
b-baseline_0421,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0421,emot,,,HA,D,"{'code': 'HA', 'char': 'D'}"
b-baseline_0421,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0421,emot,,,HA,D,"{'code': 'HA', 'char': 'D'}"
b-baseline_0421,emot,,,SD,1IUA,"{'code': 'SD', 'char': '1IUA'}"
b-baseline_0437,char,,,2IUA,,2IUA
b-baseline_0437,agg,2IUA,D,5>,,"{'init': '2IUA', 'code': '5>', 'rec': 'D'}"
b-baseline_0437,agg,D,2IUA,1R,,"{'init': 'D', 'code': '1R', 'rec': '2IUA'}"
b-baseline_0437,agg,D,2IUA,2R,,"{'init': 'D', 'code': '2R', 'rec': '2IUA'}"
b-baseline_0437,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
b-baseline_0437,emot,,,AP,2IUA,"{'code': 'AP', 'char': '2IUA'}"
b-baseline_0466,char,,,1FKA,,1FKA
b-baseline_0466,char,,,1FKA,,1FKA
b-baseline_0466,fri,1FKA,D,2>,,"{'init': '1FKA', 'code': '2>', 'rec': 'D'}"
b-baseline_0466,fri,1FKA,D,3>,,"{'init': '1FKA', 'code': '3>', 'rec': 'D'}"
b-baseline_0466,fri,D,1FKA,6=,,"{'init': 'D', 'code': '6=', 'rec': '1FKA'}"
b-baseline_0466,fri,1FKA,1FKA,1>,,"{'init': '1FKA', 'code': '1>', 'rec': '1FKA'}"
b-baseline_0466,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0466,emot,,,SD,1FKA,"{'code': 'SD', 'char': '1FKA'}"
b-baseline_0469,char,,,1FSB,,1FSB
b-baseline_0469,char,,,1FDA,,1FDA
b-baseline_0469,char,,,2IUA,,2IUA
b-baseline_0469,fri,D,1FSB,6>,,"{'init': 'D', 'code': '6>', 'rec': '1FSB'}"
b-baseline_0469,fri,D,1FSB,1>,,"{'init': 'D', 'code': '1>', 'rec': '1FSB'}"
b-baseline_0469,fri,D,1FSB,4>,,"{'init': 'D', 'code': '4>', 'rec': '1FSB'}"
b-baseline_0469,fri,D,1FSB,1>,,"{'init': 'D', 'code': '1>', 'rec': '1FSB'}"
b-baseline_0469,mf,,,5,D,"{'code': '5', 'char': 'D'}"
b-baseline_0469,mf,,,4,D + 1FSB,"{'code': '4', 'char': 'D + 1FSB'}"
b-baseline_0469,emot,,,HA,D,"{'code': 'HA', 'char': 'D'}"
b-baseline_0474,char,,,1MOA,,1MOA
b-baseline_0474,char,,,1FKA,,1FKA
b-baseline_0474,fri,1MOA,D,2>,,"{'init': '1MOA', 'code': '2>', 'rec': 'D'}"
b-baseline_0474,mf,,,1,1MOA,"{'code': '1', 'char': '1MOA'}"
b-baseline_0474,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0474,emot,,,HA,D,"{'code': 'HA', 'char': 'D'}"
b-baseline_0474,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0485,char,,,2ANI,,2ANI
b-baseline_0485,char,,,2FDA,,2FDA
b-baseline_0485,char,,,2ANI,,2ANI
b-baseline_0485,fri,D,2ANI,1>,,"{'init': 'D', 'code': '1>', 'rec': '2ANI'}"
b-baseline_0485,mf,,,5,D,"{'code': '5', 'char': 'D'}"
b-baseline_0485,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0485,mf,,,6,2ANI,"{'code': '6', 'char': '2ANI'}"
b-baseline_0485,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
b-baseline_0496,char,,,1MOA,,1MOA
b-baseline_0496,char,,,1MPA,,1MPA
b-baseline_0496,char,,,1MKA,,1MKA
b-baseline_0496,char,,,1MKA,,1MKA
b-baseline_0496,fri,1MKA,D,2>,,"{'init': '1MKA', 'code': '2>', 'rec': 'D'}"
b-baseline_0505,char,,,1MKA,,1MKA
b-baseline_0505,char,,,1FKA,,1FKA
b-baseline_0505,agg,D,1MKA,1>,,"{'init': 'D', 'code': '1>', 'rec': '1MKA'}"
b-baseline_0505,agg,1MKA,D,3>,,"{'init': '1MKA', 'code': '3>', 'rec': 'D'}"
b-baseline_0505,agg,D,1MKA,1R,,"{'init': 'D', 'code': '1R', 'rec': '1MKA'}"
b-baseline_0505,agg,D,1MKA,2>,,"{'init': 'D', 'code': '2>', 'rec': '1MKA'}"
b-baseline_0505,agg,1MKA,D,1>,,"{'init': '1MKA', 'code': '1>', 'rec': 'D'}"
b-baseline_0505,agg,D,1MKA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1MKA'}"
b-baseline_0505,agg,1MKA,D,2>,,"{'init': '1MKA', 'code': '2>', 'rec': 'D'}"
b-baseline_0505,fri,D,1MKA,2>,,"{'init': 'D', 'code': '2>', 'rec': '1MKA'}"
b-baseline_0505,fri,1MKA,D,6>,,"{'init': '1MKA', 'code': '6>', 'rec': 'D'}"
b-baseline_0505,fri,D,1MKA,6>,,"{'init': 'D', 'code': '6>', 'rec': '1MKA'}"
b-baseline_0505,fri,D,1MKA,1>,,"{'init': 'D', 'code': '1>', 'rec': '1MKA'}"
b-baseline_0505,sex,1MKA,D,1>,,"{'init': '1MKA', 'code': '1>', 'rec': 'D'}"
b-baseline_0505,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
b-baseline_0505,emot,,,SD,1MKA,"{'code': 'SD', 'char': '1MKA'}"
b-baseline_0505,emot,,,AN,D,"{'code': 'AN', 'char': 'D'}"
b-baseline_0505,emot,,,AN,1MKA,"{'code': 'AN', 'char': '1MKA'}"
b-baseline_0517,char,,,1MOA,,1MOA
b-baseline_0517,char,,,1FOA,,1FOA
b-baseline_0517,char,,,1FKA,,1FKA
b-baseline_0517,char,,,1FSA,,1FSA
b-baseline_0517,char,,,1MRA,,1MRA
b-baseline_0517,agg,D,1MOA,2>,,"{'init': 'D', 'code': '2>', 'rec': '1MOA'}"
b-baseline_0517,agg,1MOA,D,2R,,"{'init': '1MOA', 'code': '2R', 'rec': 'D'}"
b-baseline_0517,agg,D,1MOA,2R,,"{'init': 'D', 'code': '2R', 'rec': '1MOA'}"
b-baseline_0517,fri,1MOA,D,4>,,"{'init': '1MOA', 'code': '4>', 'rec': 'D'}"
b-baseline_0517,fri,D,1MOA,6=,,"{'init': 'D', 'code': '6=', 'rec': '1MOA'}"
b-baseline_0517,fri,1MOA,D,2>,,"{'init': '1MOA', 'code': '2>', 'rec': 'D'}"
b-baseline_0517,fri,1MOA,D,5>,,"{'init': '1MOA', 'code': '5>', 'rec': 'D'}"
b-baseline_0517,fri,1FKA,D,2>,,"{'init': '1FKA', 'code': '2>', 'rec': 'D'}"
b-baseline_0517,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0517,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0522,char,,,1FSA,,1FSA
b-baseline_0522,char,,,1FPA,,1FPA
b-baseline_0522,emot,,,HA,1FPA,"{'code': 'HA', 'char': '1FPA'}"
b-baseline_0524,char,,,1IOA,,1IOA
