dream_id,pred_objects,gt_objects,f1,precision,recall,reasoning,dream_report
norms-f_0061,"[""AR"", ""AR"", ""AD"", ""HH"", ""BA""]","[""AR"", ""HH"", ""AD"", ""AR"", ""HH""]",0.8,0.8,0.8,"{""AR (dormitory)"": ""The dreamer's dormitory — a residential building explicitly entered and inhabited."", ""AR (living room)"": ""A distinct residential room within the dormitory where the dreamer hides."", ""AD (doorbell/door)"": ""The door and doorbell are architectural details of the building — the man rings the doorbell and waits at the door."", ""HH (chair)"": ""A chair the dreamer hides behind — household furniture."", ""BA (heart)"": ""The dreamer's heart is explicitly mentioned as beating quickly — an internal body part singled out as an object of attention.""}","I dreamed that a man continually would come to my dormitory, ring the doorbell and while he waited at the door, I would hide in the living room behind a chair until I would see him leave. I seemed to be aware of the fact that I was terribly afraid of him, although I had never seen him before and he "
norms-f_0062,"[""IT"", ""IT""]","[""IT"", ""MS"", ""AR""]",0.4,0.5,0.333,"{""IT (thermometer)"": ""A medical apparatus/instrument used for taking temperature — coded as a tool."", ""IT (mercury)"": ""A substance contained within the thermometer that runs out — this is a material/substance from the instrument. However, mercury is a distinct physical object that spills around the room. It could be MS, but since it is part of a medical/measurement device context, IT is appropriate. On reflection, mercury as a substance running around the room is better coded as MS since it is no longer functioning as a tool."", ""NOT CODED — 'the room'"": ""The room is mentioned as a location context ('around the room') but is not explicitly described as a distinct physical space entered or encountered. No clear residential, vocational, or other architectural detail is given.""}","I dreamed that somebody was taking my temperature. I was afraid that I really had a fever, so I didn't want the person to come near me with the thermometer. Someone had said not to touch the thermometer on a certain point - otherwise the mercury would all run out in a steady stream. I must have touc"
norms-f_0063,"[""AV"", ""AV"", ""AM"", ""CL"", ""CL"", ""CL"", ""BE"", ""BE"", ""BE"", ""BA"", ""IT""]","[""CM"", ""AV"", ""AV"", ""CL"", ""CL"", ""CL"", ""BE"", ""BE"", ""BE"", ""CL""]",0.762,0.727,0.8,"{""AV (the dreamer's classroom)"": ""A classroom — vocational/educational building space."", ""AV (friend's classroom)"": ""A second distinct classroom the friend is coming out of — separate vocational/educational space."", ""AM (the hall)"": ""A hallway/corridor — connecting space within a building, coded as architectural miscellaneous."", ""CL (white coat)"": ""Clothing — a white coat the friend is wearing."", ""CL (white trousers)"": ""Clothing — a pair of white trousers."", ""CL (his coat he put on)"": ""Clothing — a coat the friend puts on before leaving (distinct from the white coat already worn)."", ""BE (hand)"": ""Extremity — the friend's hand is explicitly described as bandaged."", ""BE (arm)"": ""Extremity — the friend's arm explicitly described (bandage halfway up)."", ""BE (wrist)"": ""Extremity — the friend's broken wrist explicitly mentioned."", ""BA (broken wrist — the break)"": ""Anatomical condition — a broken bone explicitly described."", ""IT (bandage)"": ""A medical apparatus/supply — the bandage on his hand and arm.""}","I dreamed that Dean Dolan was explaining the construction of some English sentences to me. I had them all correct except one which she switched around to make it the right construction. Then we walked out of the classroom since she a class and so did I. As we came out into the hall, I saw a friend o"
norms-f_0064,"[""HH"", ""AR""]","[""HH"", ""AR""]",1.0,1.0,1.0,"{""HH (the table)"": ""A table at which the dreamer and others are sitting — household furniture."", ""AR (the dormitory)"": ""The dreamer's dormitory is explicitly mentioned as a residential building the dreamer lives in and left from."", ""NOT CODED — 'the dance'"": ""The dance is an event the dreamer did not attend; it is not a physical object or venue present in the dream scene."", ""NOT CODED — the other people"": ""Characters are not coded as objects; no body parts are described.""}","I dreamed that I was sitting at a table with a girl in my dormitory, her boyfriend and either 2 or 3 other people whom I don't recall. Anyhow, the girl was asking me all sorts of questions about a dance I was supposed to have attended last week, but to which I never went. I had signed out for this d"
norms-f_0065,"[""AR"", ""AR"", ""AD"", ""AD"", ""CL"", ""CL"", ""CM"", ""MO""]","[""AR"", ""CL"", ""AD"", ""AR"", ""CL"", ""IR"", ""AR"", ""CL"", ""MS""]",0.588,0.625,0.556,"{""AR (my room)"": ""The dreamer's room — a residential space explicitly entered and described."", ""AR (my dormitory / porch)"": ""The dormitory porch is a distinct residential space where the goodbye scene takes place."", ""AD (windows)"": ""Architectural detail — the windows of the room being cleaned."", ""AD (porch)"": ""Architectural detail — the porch of the dormitory is a structural part of the building, distinct from the room itself. Actually, reconsideration: the porch is part of the dormitory building, coded as AD for architectural detail."", ""CL (naval lieutenant's uniform)"": ""Clothing — the young man's uniform is explicitly described."", ""CL (my ring)"": ""Clothing/accessory — a ring worn by the dreamer, admired by the man."", ""CM (tickets to see Romeo and Juliet)"": ""Communication — tickets are printed media/documents for an event."", ""MO (billfold)"": ""The billfold (wallet) is a money-related object — a wallet with his name stamped on it. Actually, a billfold is a wallet which is primarily for money. Coded as MO."", ""NOT CODED — 'dorm next door'"": ""The dorm next door is mentioned in reported speech as background information, not a space the dreamer physically enters."", ""NOT CODED — 'gold' stamped name"": ""The gold lettering is a feature of the billfold, not a separate object.""}",The dream began when a friend of mine came and told me that a boy whom I had dated a few times and whom I haven't seen for several weeks was pinned to another girl who was supposed to live next door to my dorm. (The only person living there is an old woman and a few servants.) Then the dream shifted
norms-f_0066,"[""AR"", ""BH"", ""BE"", ""AD""]","[""AR"", ""AR"", ""BH"", ""BE"", ""AD""]",0.889,1.0,0.8,"{""AR (bathroom)"": ""A bathroom is a residential room within the dormitory — coded as AR."", ""BH (her head)"": ""Nancy's head is explicitly singled out as an object of attention — the dreamer took it in her hands and banged it against the wall."", ""BE (my hands)"": ""The dreamer's hands are explicitly mentioned as the means of grabbing Nancy's head — extremities coded as BE."", ""AD (the wall)"": ""The wall is explicitly described as an architectural detail that the head is banged against.""}","Two friends, Nancy (19) my ex-roommate and Julia, girl living across the hall in my dorm and I were in a bathroom chatting. Nancy replied to my statement with a rather sarcastic hum which in real life torments me to some extent. I got so excited that I took her head in my hands and banged it twice a"
norms-f_0067,"[""ST"", ""AR"", ""AV"", ""AM"", ""AR""]","[""ST"", ""AR"", ""ST"", ""AR"", ""AV"", ""AR"", ""BH"", ""MS""]",0.615,0.8,0.5,"{""ST (the street where the dreamer once lived)"": ""A street/road — the setting of the dream is explicitly on a street the dreamer once lived on."", ""AR (my old home)"": ""The dreamer's former residence — a residential building explicitly seen."", ""AV (the bakery next door)"": ""A bakery is a commercial/business building — vocational architecture."", ""AM (the high cyclone fence around it)"": ""A fence — architectural miscellaneous structure."", ""AR (some of the houses)"": ""Other houses seen on the street — residential buildings."", ""NOT CODED — New York"": ""New York is mentioned as a travel destination Tia was going to, but the dreamer is not physically there in the dream scene."", ""NOT CODED — Cleveland"": ""Cleveland is mentioned as background context for where the street is located, not as a distinct region the dreamer traverses."", ""NOT CODED — Bellflower House / dorm"": ""These are mentioned in the dreamer's waking associations, not as physical objects appearing in the dream scene."", ""NOT CODED — familiar faces"": ""Characters, not objects.""}",I dreamed this dream the night before my friend Tia Sticapoulou went to New York. I dreamed I saw her walking down the street with another of my friends on the day that she was to leave. I inquired as to what had happened. She replied that she waited for a number of hours and that the person didn't 
norms-f_0068,"[""CL"", ""CL""]","[""RG"", ""CL"", ""CL""]",0.8,1.0,0.667,"{""CL (brown checked jacket)"": ""Clothing item explicitly described — the dreamer was 'very conscious' of it."", ""CL (the dress she was wearing)"": ""Clothing item explicitly described — the dreamer was 'aware of the dress I was wearing.'"", ""NOT CODED — social function venue"": ""The dream says 'some type of social function' but does not explicitly describe a building or room as a distinct physical space. Too vague to code as AE."", ""NOT CODED — Case or Reserve campus"": ""These are mentioned as recognition context, not as a physical region the dreamer is in during the dream scene.""}","All that I can remember is that I was at some type of social function. Someone came up to me and asked me to dance, and some time later this same individual in exactly the same manner asked me again. I can't explain how he asked me, but I do know that it was in the exact same way. The second time I "
norms-f_0069,"[""HH"", ""BH"", ""HH"", ""TR""]","[""HH"", ""BS"", ""BH"", ""HH"", ""TR""]",0.889,1.0,0.8,"{""HH (the bed)"": ""Household furniture — the dreamer is explicitly in bed."", ""BH (long hair)"": ""Head/hair explicitly described as a feature of the baby — 'a beautiful girl with long hair.'"", ""HH (cradle/bassinet)"": ""Household furniture — a cradle or bassinet given by the uncle."", ""TR (the car)"": ""A car is explicitly mentioned as appearing in the dream."", ""NOT CODED — ring"": ""The ring is mentioned as absent ('I had no ring'), so it is not a physical object present in the dream scene."", ""NOT CODED — the baby"": ""The baby is a character, not an object."", ""NOT CODED — parents' home or room"": ""No specific room or building is explicitly described as a physical space beyond being 'in bed.'""}","In my dream I was in bed aware of the fact that I was about to give birth to a baby. I fell into a deep sleep or when I woke the baby had been born. I had no pain and there was no evidence of afterbirth. At the time my parents were away and on returning both were overjoyed, especially my father (thi"
norms-f_0070,"[""AV"", ""HH"", ""HH"", ""CL"", ""BE"", ""BH"", ""BE"", ""BE"", ""CL""]","[""CM"", ""AV"", ""HH"", ""HH"", ""AD"", ""CL"", ""BE"", ""BH"", ""BE"", ""BE"", ""CL"", ""CL"", ""CL""]",0.818,1.0,0.692,"{""AV (psych lab)"": ""A laboratory used for academic/educational purposes — vocational/educational building."", ""HH (tables)"": ""Furniture — tables spread over the room."", ""HH (chairs along the wall)"": ""Furniture — chairs described as lining the wall."", ""CL (bright blue outfit)"": ""Clothing worn by the girl proctor."", ""BE (legs crossed)"": ""Extremities — legs explicitly described as crossed."", ""BH (head supported in her hand)"": ""Head — explicitly singled out as an object of attention in the posture description."", ""BE (hand)"": ""Extremity — hand explicitly described as supporting her head."", ""BE (knee)"": ""Extremity — knee explicitly described as where the hand rests."", ""CL (coat with green band and fur)"": ""Clothing — another proctor's coat explicitly described.""}","I had to take an exam in the psych lab. When I entered, there were tables over the whole place. The lab was just one room, not the way it actually is. There were chairs along the wall all occupied with people who are proctors. There seemed to be more of them than students taking the exam. One girl, "
norms-f_0071,"[""TR"", ""NA"", ""NA""]","[""NA"", ""TR"", ""TR"", ""NA""]",0.857,1.0,0.75,"{""TR (the car)"": ""A car — conveyance/travel object, explicitly described as being driven and parked."", ""NA (the steep hill)"": ""A hill — natural terrain feature, explicitly described and central to the dream scene."", ""NA (the lake)"": ""A lake — natural water body, explicitly described as a distinct object encountered at the summit."", ""NOT CODED — 'the controls'"": ""Controls are part of the car (TR), not a separate object."", ""NOT CODED — 'the summit/top'"": ""The summit is part of the hill (NA), not a separate object.""}","My father was driving me up a very steep hill in our car, and my young brother (15) was with us. When we reached the top, we got out of the car and parted for my father was going one way and I the other. I was very worried about leaving the car parked on the steep hill because some little fairy like"
norms-f_0072,"[""AV"", ""HH"", ""CM""]","[""AV"", ""HH"", ""AV"", ""CM""]",0.857,1.0,0.75,"{""AV (sociology class area / hall)"": ""The dreamer is about to enter a class and is in the hall — an educational/vocational building space."", ""HH (table)"": ""A table where the girls are seated — household furniture."", ""CM (papers)"": ""Papers passed out for signing — communication materials.""}","I was just about to enter my sociology class when I saw a few girls (unknown to me) seated at a table across the hall. I, too, sat down there. Then my instructor came and began talking to the girls. I thought that if I kept silent, he wouldn't notice I didn't belong and my presence would do no harm."
norms-f_0073,"[""BE"", ""BE"", ""BE"", ""BE""]","[""BE"", ""BE"", ""BE"", ""BE""]",1.0,1.0,1.0,"{""BE (arms)"": ""Extremities — the man's arms are explicitly described as objects of attention with freakish characteristics."", ""BE (legs)"": ""Extremities — the man's legs are explicitly described as objects of attention with freakish characteristics."", ""BE (fingers)"": ""Extremities — fingers are explicitly mentioned as notable features at the ends of his limbs."", ""BE (toes)"": ""Extremities — toes are explicitly mentioned as notable features at the ends of his limbs."", ""NOT CODED — 'stumps'"": ""Stumps are part of the same limb descriptions already coded as BE, not separate objects."", ""NOT CODED — wife, fiancé, children"": ""These are characters, not physical objects. No body parts or physical objects are described for them."", ""NOT CODED — any architecture"": ""No building or room is explicitly described as a physical space in the dream.""}",The only visible person was a man who had freakish limbs. At the end of each arm and leg there was either a stump or only one or two fingers or toes. I had the feeling he had acquired one of them only recently. I seemed to know that this man had a loving wife who would not leave him because of his h
norms-f_0074,"[""AV"", ""HH"", ""HH"", ""HH"", ""CM""]","[""CL"", ""HH"", ""CL"", ""MS""]",0.222,0.2,0.25,"{""AV (the store)"": ""Shopping for lipstick implies a store — a vocational/commercial building. The dreamer is physically present and interacting with a counter, so the store is explicitly described as a space."", ""HH (the counter)"": ""A counter where lipstick is sold — household/store furniture fixture."", ""HH (lipstick cases)"": ""The cases holding the lipstick — containers/household objects distinct from the lipstick itself."", ""HH (lipstick)"": ""The lipstick product itself — a household/personal supply item."", ""CM (paper)"": ""Paper used to streak lipstick on — a material for testing/communication of color. Actually, paper as a simple material is better coded as MS. Reconsidering: paper here is a miscellaneous object used for testing. However, 'paper' in H/VdC is often coded CM (communication materials). Coding as CM.""}","I was shopping for lipstick and was with a girl with whom I had been close friends in high school, but now am unfriendly with. I wondered why she was with me since I didn't like her. She was helping me choose a lipstick and I wondered whether she might not want to hinder me. The girl showed me a cou"
norms-f_0075,"[""AR"", ""NA"", ""HH""]","[""AR"", ""NA"", ""HH""]",1.0,1.0,1.0,"{""AR (the room)"": ""A room the dreamer is in — residential space, coded as AR."", ""NA (earth from flower pots — earth/soil)"": ""Natural material (earth/soil) explicitly described as being emptied."", ""HH (flower pots)"": ""Household containers — flower pots are household items."", ""NOT CODED — 'face'"": ""The dreamer says they don't remember seeing a face — so no body part is actually present as an object of attention."", ""NOT CODED — 'everything in the room'"": ""Vague reference to room contents without specifying distinct objects; cannot code unspecified items.""}",All I remember of this dream is that my brother (16) re-entered a room I was in. He began upsetting everything in the room and doing everything he could to dirty it up--emptying the earth from flower pots was one specific way I remember. He was doing all this to spite me because I pleaded with him n
norms-f_0076,"[""CL"", ""CL"", ""NA"", ""NA"", ""NA"", ""IR""]","[""CL"", ""CL"", ""NA"", ""NA"", ""NA""]",0.909,0.833,1.0,"{""CL (silver-white fur coats)"": ""Clothing items explicitly described — both girls wore identical coats, but they are described as a single type of garment ('beautiful silver-white fur coats'). Coded once as a distinct clothing object of attention."", ""CL (light blue dresses)"": ""A second distinct clothing item explicitly described and singled out."", ""NA (lakeshore / water)"": ""Natural water body — the lake and its shore are a nature object."", ""NA (sun)"": ""Heavenly body explicitly mentioned — 'a bright sun.'"", ""NA (fish caught)"": ""They went fishing and caught 'quite a few' — fish are nature objects. Coded once as a collective catch."", ""IR (fishing activity/equipment)"": ""They 'went fishing' — fishing implies fishing implements/recreation equipment actively used for recreation."", ""NOT CODED — 'blue sky'"": ""The sky is atmospheric backdrop, not a distinct physical object. The sun is coded separately as it is explicitly named."", ""NOT CODED — weather/cold"": ""Weather conditions are not physical objects.""}","I dreamed of 2 girls (I know them personally and always think of them together) both dressed exactly alike. They were beautiful silver-white fur coats which I liked very much. Both were very dressed up, and I remember especially that they wore light blue dresses. We were at a lakeshore. Some older p"
norms-f_0077,"[""NA"", ""NA"", ""HH"", ""HH""]","[""NA"", ""FO""]",0.333,0.25,0.5,"{""NA (bushel of apples #1)"": ""Apples are a natural/food item — but bushels of apples as picked fruit are nature objects. Actually, apples are food. Reconsidering: apples are a food item = FO. But the bushel container is a household object. Let me reconsider: apples as harvested produce = FO, and the bushel baskets = HH. Actually, the dream focuses on 'bushels of apples' as combined objects. Apples are food (FO), bushels are containers (HH). Coding separately."", ""HH (bushel container #1)"": ""A bushel basket/container — household object."", ""HH (bushel container #2)"": ""A second distinct bushel basket/container — household object."", ""NOT CODED — oven"": ""The oven is mentioned in reported speech ('something about the oven not being hot enough') — it is not physically present in the dream scene as a distinct object encountered.""}","I dreamed that my father was commending my sister and me for picking two bushels of apples. One of the bushels of apples was, I distinctly remember, yellow. My father went on to complain about not being able to hunt. I don't think the reason is very clear. He said something about the oven not being "
norms-f_0078,"[""ST"", ""TR"", ""TR""]","[""TR"", ""TR"", ""TR"", ""TR""]",0.571,0.667,0.5,"{""ST (railroad tracks)"": ""Railroad tracks are roadway/path infrastructure — coded as ST. Multiple tracks mentioned but they form one continuous setting."", ""TR (moving locomotives)"": ""Locomotives/trains are conveyances — travel objects."", ""TR (approaching train in second dream)"": ""A second distinct train mentioned in the related dream scene — travel object.""}","I dreamed of being on railroad tracks. I don't remember feeling any particular emotion. There were several tracks, and moving locomotives, and I remember that my father was present. Another dream I had similar to this one involved my father trying to remove something from the tracks before an approa"
norms-f_0079,"[""MO""]","[""MO""]",1.0,1.0,1.0,"{""MO ($80 / the money)"": ""Money explicitly mentioned — $80 and 'the money' refer to the same financial object."", ""NOT CODED — 'home'"": ""Home is the general setting context ('home for a vacation') but is not described as a distinct physical space encountered in the dream."", ""NOT CODED — body parts (grinning)"": ""'Grinning at each other' is an interpersonal expression, not a body part singled out as a distinct object of attention.""}",I dreamed that I was home for a vacation. I was demanding from my mother that she tell me what a certain $80 was for. I was very puzzled about it and wanted to know its source. I remember then seeing my mother and father grinning at each other and right away I realized that it was they who had given
norms-f_0080,"[""AE"", ""NA"", ""CM"", ""CL"", ""BE"", ""AR"", ""BH""]","[""NA"", ""CL"", ""BE"", ""AR"", ""BH"", ""AR""]",0.769,0.714,0.833,"{""AE (the big formal dance)"": ""A dance/entertainment venue — entertainment building/event space."", ""NA (pink camelia)"": ""A flower — nature object."", ""CM (telephone call / long distance call)"": ""Communication device — calling Milt by phone, operators listening."", ""CL (diamond ring)"": ""Jewelry — clothing/accessory object worn on the body."", ""BE (finger)"": ""Extremity — the finger is explicitly mentioned as where the ring is slipped on."", ""AR (the house he was building)"": ""Residential building — a house described as being built."", ""BH (he turned his head away)"": ""Head — explicitly singled out as an object of attention when he turned it away."", ""NOT CODED — 'my home'"": ""The dreamer says 'somewhere near my home' but the setting is described as unclear and the home is not entered or described as a distinct physical space."", ""NOT CODED — 'operators'"": ""The operators are characters, not objects.""}","I was planning on going to a big formal dance, one of the Mather dances to which the girls invite their boyfriends. I was very worried about who to ask, and for some reason I didn't want to ask Milt. A girlfriend of mine I don't know who, got me a blind date for the affair. The night of the dance I "
norms-f_0081,"[""RG""]",[],0.0,0.0,0.0,"{""RG (Albuquerque, N.M.)"": ""Named city/geographic region — the dreamer is physically carried there in the dream scene."", ""NOT CODED — symptoms"": ""Abstract reference to dying symptoms; no specific body parts or medical objects are described."", ""NOT CODED — 'the town'"": ""This refers to the same location as Albuquerque, not a separate region.""}","I dreamed I was dying. I had all the symptoms, and was just waiting for the end. But at the same time, I was about and carrying on carious activities with friends. It worried me to be doing this, because I was supposed to die, and I didn't know how much gallivanting I should be doing. Somehow these "
