dream_id,pred_settings,gt_settings,f1,precision,recall,reasoning,dream_report
norms-f_0011,"[""IQ""]","[""IQ""]",1.0,1.0,1.0,"{""IQ (hotel room)"": ""The dream takes place in 'a hotel room' — an indoor setting. There is no possessive pronoun, no name, and no indication the dreamer recognizes or doesn't recognize this specific hotel room. A hotel room without explicit familiarity or unfamiliarity signals = Indoor + Questionable = IQ.""}",I dreamed that I went to bed in a hotel room between the boy I go with (19) and his father (50). In the middle of the night I sat up and bent over to kiss the boy I go with. I woke up to find myself kissing my girlfriend (20) with whom I was sleeping.
norms-f_0012,"[""OQ""]","[""OQ""]",1.0,1.0,1.0,"{""OQ (street and steps outside a house)"": ""The entire dream takes place outdoors — being chased up a street, rounding a corner, and sitting on steps leading up to a house's walk. These are all continuous outdoor locations. The street and house are not named, no possessive is used, and no familiarity or unfamiliarity is expressed. Outdoor + Questionable = OQ.""}","The boy I go with (20) and I were being chased by a policeman (do not remember why). As he (policeman) rounded a corner, we were way up the street. The policeman however took aim and shot my boyfriend through the back. No blood came out, but I could see the holes in his sweater which were singed aro"
norms-f_0013,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (my bedroom)"": ""The dreamer mentions 'my bedroom' — an indoor setting with a possessive pronoun indicating familiarity. The rest of the dream (the wedding confusion, asking about announcements, looking at rings) does not clearly relocate to a different physical setting. Indoor + Familiar = IF.""}","I dreamed I was to be married to the boy I go with (20) when he appeared. However, it was not him but his father (50). Everything was very confused. I remember emptying my father's (48) suitcase in my bedroom and then hurriedly putting everything back in again, remembering asking my girlfriend (19) "
norms-f_0014,"[""OQ""]","[""OQ""]",1.0,1.0,1.0,"{""OQ (snowy slope and hilltop under a tree)"": ""The entire dream takes place outdoors — riding a motorcycle up a snowy slope and then sitting under a tree at the top. The location is not named, and the dreamer does not indicate familiarity or unfamiliarity with it. Outdoor + Questionable = OQ.""}","I was going up a high slippery slope on a motorcycle. The boy I go with was driving the motorcycle and I was on the back. There was a great deal of snow on the ground. When we arrived at the top of the slope, we got off and sat down under a tree. I was watching him and suddenly his face seemed to ch"
norms-f_0015,"[""IQ""]","[""IQ""]",1.0,1.0,1.0,"{""IQ (bedroom / hotel corridor)"": ""The dream takes place in a bedroom and then a hotel corridor. Both are indoor settings within what appears to be the same hotel building (bedroom → hotel corridor → stairs). The dreamer does not use any possessive ('my room') or name the hotel, nor does she express unfamiliarity. A hotel room is a generic place type — not inherently unfamiliar without explicit signals. Indoor + Questionable = IQ. The corridor and stairs are sub-locations within the same building, so no new code is needed.""}",Dreamed that boyfriend's (20) mother (46) was married to Clark Gable. She was one of his ex-wives. This was a great surprise to me. Dreamed that I was in a bedroom. Clark Gable and present wife (not Bs mother) were sitting on a chair. She was dressed in a bright red suit and was on his leg. She was 
norms-f_0016,"[""OF""]","[""OF""]",1.0,1.0,1.0,"{""OF (Antisdale Avenue)"": ""The entire dream takes place on Antisdale Avenue — a named outdoor street the dreamer is running along. The sister is standing on a lawn of one of the houses, which is part of the same continuous outdoor street scene. Outdoor + Familiar (named street) = OF.""}","I dreamed that I was running up Antisdale Avenue pursued by a large black dog with fantastically long whiskers. No matter how fast I ran, the dog was always right behind me, and his whiskers tickled my legs. I saw my sister standing on the lawn of one of the houses watching me, and when I asked her "
norms-f_0017,"[""OF""]","[""OQ""]",0.5,0.5,0.5,"{""OF (country road)"": ""The entire dream takes place outdoors along a road in the country. The dreamer is walking, then gets into a car, but the environment remains the same outdoor road setting. The dreamer recognizes the driver as someone they had worked for in army recruiting, and the context is a continuous outdoor scene. The dreamer does not name the road or express explicit unfamiliarity; however, the landscape is described as 'barren and deserted,' which does not by itself signal unfamiliarity (U requires explicit non-recognition of the place). The dreamer recognizes the person who picks them up from a past work context, and the road setting itself has no possessive or name. Actually, re-evaluating: there is no possessive, no name, and no explicit statement of unfamiliarity — this should be OQ. Wait — 'barren and deserted' describes the landscape quality but does not explicitly state the dreamer doesn't recognize it. This is Outdoor + Questionable = OQ.""}","I was walking along by the side of the road in the country. The landscape was barren and deserted and it was raining. I kept stepping in puddles. The few cars that went by would not pick me up, but rather splashed water all over me. Then an army car stopped and the driver offered me a ride. I recogn"
norms-f_0018,"[""OF"", ""IF"", ""IU""]","[""OF"", ""IF"", ""IU""]",1.0,1.0,1.0,"{""OF (Euclid Avenue)"": ""The dream opens on Euclid Avenue — a named outdoor street the dreamer is walking along. Outdoor + Familiar (named street the dreamer knows) = OF."", ""IF (Quinn-Maah's, Milgrims — named shops)"": ""The dreamer enters the named specialty shops. These are indoor settings the dreamer recognizes by name (familiar shopping street). Indoor + Familiar = IF. Multiple named shops on the same street are the same scene type — one code."", ""IU (unidentified shop at the end)"": ""The final shop is explicitly 'unidentified' — the dreamer enters a shop with no name. Indoor + Unfamiliar = IU. This is a distinct scene: a new, different shop that the dreamer does not recognize.""}","I dreamed that I was walking up Euclid Avenue on a shopping trip. I was going into the small specialty shops such as Quinn-Maah's, Milgrims, etc. looking for bargains in lingerie. In each store there was a counter with a large pile of pink slips with fancy lace trimming and in each store, after look"
norms-f_0019,"[""IF"", ""OQ"", ""IU""]","[""IF"", ""IQ""]",0.8,0.667,1.0,"{""IF (Hotel Carter Ballroom)"": ""The dream opens inside the Hotel Carter Ballroom — a named indoor venue. The place is explicitly identified by name, making it a familiar/recognized location. Indoor + Familiar = IF."", ""OQ (street between buildings)"": ""The dreamer crosses 'the street' to go to another building. This is a brief outdoor transition. The street is not named or described as familiar/unfamiliar. Outdoor + Questionable = OQ."", ""IU (building across the street)"": ""The dreamer enters 'a building across the street' — an unnamed, unrecognized building. The dreamer has no prior relationship with this place; it is described generically as simply 'a building across the street,' and the dreamer navigates unfamiliar elevators to reach a long narrow hallway. The context suggests an unfamiliar location. Indoor + Unfamiliar = IU.""}","I was at a large party which seemed to be a New Year's Eve gathering. It took place in the Hotel Carter Ballroom and the place was jammed with people in formal dress. I was dressed in a disreputable outfit of blue jeans and a dirty shirt, and every time I tried to make conversation, I was completely"
norms-f_0020,"[""IQ""]","[""IQ""]",1.0,1.0,1.0,"{""IQ (backstage)"": ""The dreamer is physically present backstage, surrounded by black velvet curtains, trying to find the opening to the stage. This is an indoor setting (enclosed backstage area of a theater). There is no possessive ('my theater,' 'our stage'), no specific name, and no indication of familiarity or unfamiliarity with the venue. Indoor + Questionable = IQ. The earlier thoughts about the part before being backstage have no described physical environment and do not warrant a separate setting code.""}","I had a part in a play, but put off learning the lines. I kept thinking about the part and kept putting it out of my mind. Finally I was backstage, surrounded by black velvet curtains. I couldn't find the opening in the curtains to get to the stage, and I was also panicky because I had not learned m"
norms-f_0021,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (aunt's house / kitchen)"": ""The dream takes place in 'a house in which an aunt lived at one time' — an indoor setting. The dreamer identifies it as a specific house belonging to a family member, indicating familiarity with the place. The kitchen and other rooms are sub-locations within the same house, so only one code is needed. Indoor + Familiar = IF.""}","I dreamed an elderly man, an old friend of mine, came to visit me at a house in which an aunt lived at one time. We were standing in the kitchen and he seemed to want me to read a letter. He held it in his hand, outstretched to me, but I was more concerned in looking into the other rooms to see if a"
norms-f_0022,"[""IU""]","[""IU""]",1.0,1.0,1.0,"{""IU (unfamiliar room)"": ""The dream takes place in a room — an indoor setting. The dreamer explicitly describes it as 'unfamiliar,' which is a clear signal of non-recognition. Indoor + Unfamiliar = IU.""}",I dreamed of being in an unfamiliar and rather vague room with an elderly woman who at one time was my music teacher. She was seated at a table and was speaking to me of a piece of apparatus which seemed to be somehow connected with medicine. She asked if I wished to see it operated and to do so req
norms-f_0023,"[""IQ""]","[""IQ""]",1.0,1.0,1.0,"{""IQ (doctor's office)"": ""The dream takes place in a doctor's office or examination room — an indoor setting. The doctor is described as 'a stranger,' but this refers to the person, not the place. The place itself is not named, not possessively owned ('my doctor's office'), and not explicitly described as unfamiliar. A generic doctor's office with no familiarity signal = Indoor + Questionable = IQ.""}","I dreamed I was in to see a doctor (a stranger) for consultation. The examination seemed of a trivial nature, but continued for quite some time. I was growing more puzzled by the procedure and wondering why he was taking so long. At last he seemed terribly pleased with himself and told me I had canc"
norms-f_0024,"[""OU"", ""IU""]","[""OU"", ""IU""]",1.0,1.0,1.0,"{""OU (strange town, car)"": ""The dream opens in 'a strange town' where the dreamer meets a couple sitting in a car. 'Strange' explicitly signals the dreamer does not recognize the town. The setting is outdoor (a town street where a car is parked). Outdoor + Unfamiliar = OU."", ""IU (hospital ward)"": ""The dreamer then enters a hospital ward. This is clearly indoor. The dreamer was introduced to the people in charge through the unknown couple — 'it was through them that I had been introduced to the people in charge' — signaling the dreamer has no prior relationship with this place. The dreamer is there as an 'observer' of new equipment, further indicating an unfamiliar institutional setting. Indoor + Unfamiliar = IU.""}","I dreamed I was in a strange town and was meeting a couple who were sitting in a car. They were vague and unknown to me, still it seemed perfectly natural to be seeing them. The next thing I knew I was entering a hospital ward and it was through them that I had been introduced to the people in charg"
norms-f_0025,"[""IQ""]","[""IU""]",0.5,0.5,0.5,"{""IQ (building with laboratory/lecture room)"": ""The dream takes place inside a building containing a laboratory and lecture/demonstration area. The dreamer enters the building, goes downstairs to a laboratory, and arranges around a table — all within the same building. No possessive pronoun is used ('a building,' not 'my building'), no name is given, and no familiarity or unfamiliarity is expressed. Moving between floors within the same building does not constitute a scene change. Indoor + Questionable = IQ.""}","I dreamed I entered a building with the purpose of attending a demonstration and lecture on anatomy (perhaps an autopsy--I'm not sure). There were a number of people about and I seemed to be part of a group. However, I only noticed and greeted one girl who is a new acquaintance. I asked her if she h"
norms-f_0026,"[""IQ""]","[""IQ""]",1.0,1.0,1.0,"{""IQ (bathroom / interior space)"": ""The dream involves the dreamer experiencing bodily sensations (teeth, mouth) and eventually going to 'the bathroom' to drink water. The bathroom is an indoor setting. There is no possessive ('my bathroom') and no explicit naming or familiarity signal for the place — it is simply 'the bathroom.' The earlier portion of the dream has no described physical environment (just bodily sensations), so no separate code is warranted for that part. Indoor + Questionable = IQ.""}","I dreamt that my front teeth were loose and wobbled. Then I thought that I was chewing something hard. I spit what I was chewing into my hand and looked at it. My hand was full of blood and teeth. My mouth felt sore and swollen and I spit out what was in it. Again I saw the blood and teeth, but imme"
norms-f_0027,"[""IF""]","[""IQ""]",0.5,0.5,0.5,"{""IF (in front of a desk, dorm context)"": ""The dream takes place in front of a desk where the dreamer is being interviewed. The dreamer identifies the girl at the desk as 'one of the girls in our dorm' — the possessive 'our dorm' establishes this as the dreamer's own dormitory environment. Under the dormitory rule, spaces within the dreamer's own dorm are coded as Familiar. The entire dream occurs in this single indoor location. Indoor + Familiar = IF.""}","The remembrance I have of the progress of this dream, I was standing in front of a desk. On the desk was seated one of the girls in our dorm who is a year ahead of me. I seemed to be being interviewed and then I realized that I was trying out for radio club. Next I was aware of one of the fellows wh"
norms-f_0028,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (dreamer's home / duplex next door)"": ""The dream takes place in and around the dreamer's home and the neighboring duplex. The dreamer references 'my bed,' indicating a familiar, possessive relationship with the space. The neighbor's party next door is part of the same duplex/home setting. Moving between the dreamer's side and the neighbor's side of the duplex is movement within the same immediate living area — one continuous indoor familiar setting. Indoor + Familiar = IF.""}","I was taking care of a little boy. His mother is a good friend of our family. They lived next door in a duplex and the lady next door was having a party for her little girl. When the children came, I played with them, especially one little boy. When I went in, this little boy followed me. He said he"
norms-f_0029,"[""OG""]","[""OG""]",1.0,1.0,1.0,"{""OG (western New York State / Rochester / Lake Ontario / Erie)"": ""The entire dream is a continuous outdoor drive through named, real-world geographic locations: western New York State, Rochester, Lake Ontario, Freeport, Lake Erie. Outdoor + Geographic = OG. All scenes are part of the same continuous journey — one code.""}",My mother and I were driving through western New York State. We went through Rochester and could see lake Ontario in the distance. We then arrived in Freeport on our way to Erie. Somehow we had the idea that this was where the two lakes joined. We drove beside Lake Ontario through the little town an
norms-f_0030,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (the dreamer's home — rooms, hall, porch roof)"": ""The dream takes place entirely within the dreamer's home. The dreamer refers to 'our room,' 'our double room,' 'his room' (father's room), and 'the hall' — all possessive references indicating a familiar home. The porch roof is part of the same house viewed from the window. All locations are within the same building, so only one code is needed. Indoor + Familiar = IF.""}","My kid sister (15) and I were getting ready for bed in the room next to ours. I went into our room to get my pajamas and I noticed that the window shades were up. Our double room looked out on the porch roof and as I walked to the window, I had the feeling that someone was on the roof. I pulled the "
norms-f_0031,"[""IF"", ""IF""]","[""IF"", ""IF""]",1.0,1.0,1.0,"{""IF (stunt night venue / Haydn Hall)"": ""The dreamer is participating in a recurring campus event ('stunt night') that she regularly takes part in ('my part'), followed by a dance and breakfast at Haydn Hall — a named campus building. This is a familiar indoor campus venue. The stunt, dance, and breakfast at Haydn Hall are all part of the same continuous campus event sequence. Indoor + Familiar = IF."", ""IF (his frat house)"": ""The dreamer and her boyfriend sneak into 'his frat house' — a third-party possessive ('his') for a place the dreamer clearly knows and has visited (her boyfriend's fraternity house). This is a distinct new indoor location. Indoor + Familiar = IF.""}","Since stunt night is approaching, I went to sleep and dreamt that I was going. I went through the stunt, especially my part, and then dreamt about the dance and then breakfast at Haydn Hall. After it was all over (5 a.m.) my boyfriend and sneaked into his frat house and went to sleep on 2 couches. O"
norms-f_0032,"[""IF"", ""OF""]","[""IF"", ""OF""]",1.0,1.0,1.0,"{""IF (the dorm)"": ""The dreamer receives a phone call 'at the dorm' — this is described as 'the dorm,' and context (the dreamer lives there, receives calls there, it is their residence) establishes it as the dreamer's own dormitory. Indoor + Familiar = IF."", ""OF (cemetery resembling Forest Lawn)"": ""The dreamer walks in a cemetery 'which seemed like Forest Lawn Cemetery in Los Angeles.' The dreamer is physically present in an outdoor setting. However, 'seemed like' indicates resemblance or comparison, not that the dream definitively takes place at that named geographic location. This means it is familiar through association but not OG. Outdoor + Familiar = OF.""}","Last night I dreamt that I received a phone call at the dorm and it was my father telling me that I shouldn't get excited, but my mother was killed. It seems she and my father were fishing on the lake, which they never do, and some sort of electric current from the motor electrocuted her. My father "
norms-f_0033,"[""ID""]","[""ID""]",1.0,1.0,1.0,"{""ID (living room / basement stairs)"": ""The dreamer is sitting in 'the living room' — an indoor setting with the definite article suggesting a familiar home context. However, the dreamer 'could see right through the walls' to observe the basement stairs, which is a physical impossibility. This qualifies as Distorted: the setting is a recognizable home environment but has physically impossible features. The basement stairs are within the same building, so no new scene code is needed. Indoor + Distorted = ID.""}","The other night I dreamed that I was calmly sitting in the living room hemming a pair of summer shorts when all of a sudden I heard some shooting. I looked up and it seemed as though I could see right through the walls and there were two men, one on top of the basement stairs and one at the bottom a"
norms-f_0034,"[""AQ""]","[""AQ""]",1.0,1.0,1.0,"{""AQ (unspecified location)"": ""The dream describes the dreamer's boyfriend coming over and a conversation about going out, but no physical environment is described — no room, no house, no street. The dreamer doesn't say 'my house' or 'my room' or any named/possessive indoor location. There is some implied spatial context (he 'came over,' they are somewhere together examining flowers), but whether they are indoors or outdoors is never specified. Canton is mentioned only in dialogue as a place the boyfriend might go — the dreamer is not physically there. Ambiguous + Questionable = AQ.""}","The other night I dreamed that my boyfriend came over to take me out; however, we only had about an hour to spend together. So he kept saying maybe we shouldn't go out tonight. Maybe we should wait until tomorrow and I'll go to Canton tonight. He kept on repeating Canton, Canton, and then the next t"
norms-f_0035,"[""AQ""]","[""AQ""]",1.0,1.0,1.0,"{""AQ (unspecified setting)"": ""The dream describes a physiology teacher trying to convert students and the dreamer cleaning glasses, but no physical environment is described — no room, no classroom, no building is mentioned. There are characters (teacher, students) and activities but no physical setting details. Social context (teacher + students) without any physical description = AQ per the rules.""}","All I remember dreaming was that our physiology teacher was trying to convert her students to Christian Science and I thought this was peculiar because she knew all about the way the body works and the importance of medicine and doctors, which is quite contrary to the beliefs of Scientists. I also r"
norms-f_0036,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (living room)"": ""The dream takes place in 'the living room' — an indoor setting. The context involves the dreamer's girlfriend GS, her mother, and other close people gathered in what appears to be a familiar domestic space. The use of 'the living room' in the context of GS's home, combined with the dreamer being a close friend who is present with GS's mother, suggests this is GS's living room — a place the dreamer knows as a regular visitor. Indoor + Familiar = IF.""}","Can remember very little of this dream. Most vivid is the fact that my unmarried girlfriend GS was having a baby. It seems as if we were in the living room. GS was surrounded by her mother, me and several other people. She admitted that the father was SM, her boyfriend at school. She told us without"
norms-f_0037,"[""IF""]","[""IQ""]",0.5,0.5,0.5,"{""IF (backstage/stage area)"": ""The entire dream takes place in a performance venue — backstage and then on stage. The dreamer references 'Stunt Night' and 'our turn,' indicating a recurring campus event the dreamer participates in. The venue is familiar through repeated participation. Moving from backstage to on stage is within the same building/venue — one scene. Indoor + Familiar = IF.""}","Dream was very hazy. It had to do with Stunt Night. I remember waiting backstage till it was our turn to go on stage. Before we went on, there were other people performing - like an amateur show. I saw millions of chairs, little children's chairs backstage. It was all dark. I felt sort of a cold chi"
norms-f_0038,"[""IQ""]","[""IQ""]",1.0,1.0,1.0,"{""IQ (girl's dorm / lavatory / cafeteria)"": ""The dream takes place in 'a girl's dorm' — not 'my dorm,' so no possessive or familiarity signal. The dreamer enters the lavatory (same building) and when she exits, it transforms into a cafeteria. Per the setting transformation rule, a lavatory that becomes a cafeteria in the same spot is ONE code, not two. The dreamer does not recognize this as her own dorm (no possessive), and neither the lavatory nor the cafeteria is described as the dreamer's own familiar space. The transformation is between two unrelated room types (neither is the dreamer's recognized personal space), so Distorted does not apply. Indoor + Questionable = IQ.""}","I was in a girl's dorm. I remember entering the girl's lavatory - quite a large room. I sat there for some time. When I finished and re-entered the outer part of the restroom, it was no longer that but a cafeteria. I remember seeing SM who shouldn't have been there because he attends Miami Universit"
norms-f_0039,"[""IU""]","[""IU""]",1.0,1.0,1.0,"{""IU (large room / lavatories / dance — same building)"": ""The dream takes place in a large room where a sorority meeting is held, then the dreamer goes to the lavatories and returns to find a dance going on — all within the same building. The dreamer explicitly states 'I never went around with these girls in high school,' indicating no prior relationship with this group or their space. The sorority name 'Phi Beta' is given, but the dreamer distances herself from it, and the building/room itself is not named or claimed as the dreamer's own. The context signals unfamiliarity with this place and group. Indoor + Unfamiliar = IU. All sub-locations (room, lavatories, dance area) are within the same building — one code.""}","I was joining a sorority. I saw a large room in which we met. The name of the sorority was Phi Beta. It was a high school group. I don't know why I picked on that sorority to dream about since I never went around with these girls in high school. I had something very important to say, but I wasn't ca"
norms-f_0040,"[""IQ"", ""AF"", ""IQ""]","[""IQ"", ""AF"", ""IQ""]",1.0,1.0,1.0,"{""IQ (large dark room)"": ""The dream opens in 'a large room' where a mock wedding is occurring. No possessive, no name, no familiarity signal. Indoor + Questionable = IQ."", ""AF (Camp Wise)"": ""The dream transitions to Camp Wise — a named camp the dreamer just returned from (very familiar). However, camps include both indoor facilities and outdoor grounds, so the specific physical environment (cabin? outdoor field?) is ambiguous. Familiar because named and just visited, but Ambiguous because indoor vs outdoor cannot be determined. Ambiguous + Familiar = AF."", ""IQ (dorm — 'a dorm')"": ""'Later it seemed as if I were in a dorm.' The dreamer says 'a dorm,' not 'my dorm' — no possessive, no specific name. An unnamed dorm is indoor but not clearly the dreamer's own familiar dorm. Indoor + Questionable = IQ.""}",This dream was sort of mixed up. At first the large room we were in was all dark. A mock wedding was going on. Later it turned out to be a weekend out at Camp Wise (I had just returned from there). Later it seemed as if I were in a dorm. I spoke with several counselors. On the back of my mind I kept
norms-f_0041,"[""IQ""]","[""IQ""]",1.0,1.0,1.0,"{""IQ (dining room)"": ""The dream takes place at 'a dining room table' — an indoor setting. The dreamer says 'my dormitory friends' were present, but this indicates familiar PEOPLE, not a familiar PLACE. The dreamer does not say 'my dining room' or 'our dining room' or name a specific dining hall. There is no possessive or name attached to the dining room itself. The presence of dormitory friends does not make the place familiar unless it is clearly identified as the dreamer's own dorm dining room. Indoor + Questionable = IQ.""}","I remember sitting at a dining room table. There was lots of food at the table and I was avidly eating, though I don't remember what kind of food it was. My dormitory friends were in the dining room too. All of a sudden, I noticed a girl who had graduated and had come back for a meal. I was real hap"
norms-f_0042,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (the dorm)"": ""The dream takes place in 'the dorm' — the dreamer's own dormitory, established by the context of Stunt Night (a recurring campus event), 'my bed,' and familiar dorm-mates. The dreamer moves within the same building: the room, the bathroom ('the john'), and downstairs — all sub-locations within the same dorm. Per the dormitory rule, all sub-spaces within the dreamer's own dorm are coded F. Indoor + Familiar = IF. One code for the entire dream since it stays within the same building.""}",I dreamt that a friend of mine who graduated last year came back to the dorm for Stunt Night. I was really happy to see her. Another friend took care of her and gave her my bed to sleep in. Meanwhile another girl whom I'm not too friendly with was engaged to a boy whom she was not very much in love 
norms-f_0043,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (my dormitory)"": ""The dream explicitly states 'This took place in my dormitory.' The dreamer uses the possessive 'my dormitory,' making this an indoor familiar setting. Indoor + Familiar = IF. The initial walking around 'in a daze' is not described with any distinct physical environment separate from the dormitory context, so no additional code is warranted.""}","I dreamt that a very good friend of mine was going to die. I was astonished and walked around in a daze. Then later, I remember she died. She went through sort of gyrations before she stopped; got up, sat down, stared. The kids had to hold her down. This took place in my dormitory. This girl is my a"
